,date,username,description,verified,followersCount,location,content,replyCount,retweetCount,likeCount,quoteCount,hashtags
20,2021-08-27 21:26:38+00:00,ricardo_reihe,𝘊𝘰𝘮𝘦𝘯𝘵𝘰 𝘋𝘦 𝘛𝘰𝘥𝘰*𝘏𝘶𝘮𝘰𝘳 𝘠 𝘙𝘦𝘴𝘱𝘦𝘵𝘰*𝘈𝘯𝘪𝘮𝘢𝘭𝘪𝘴𝘵𝘢*𝘌𝘶𝘳𝘰𝘧𝘢𝘯*𝘜𝘯 𝘓𝘰𝘤𝘰 𝘚𝘢𝘯𝘰 𝘈𝘮𝘪𝘨𝘰 𝘋𝘦 𝘚𝘶𝘴 𝘈𝘮𝘪𝘨𝘰𝘴*🏳️‍🌈,False,2498,"Madrid, Comunidad de Madrid","Buenas Noches,Guapers. 
Hoy me han puesto la 2da vacuna y me encuentro 🤧🤒
El día pasado hicieron una fiesta sorpresa a mi sobrina (sus amigas). Ya casi 8 meses 😍
Tuvo que ser llevada engañada  😂 Es muy yo.
Os dejo algunas fotos (no, Sam no está. Estaba destrozando mi peluche) https://t.co/5XYOT8LpVH",6,1,24,0,
21,2021-08-27 21:18:23+00:00,gsandras,,False,8804,"Barcelona, España ","Cuando intentan imponerme algo por cojones, por instinto, tiendo a rechazarlo.
Una vacuna, por ejemplo.",125,474,2173,19,
22,2021-08-27 21:13:17+00:00,Bringbacking,"las palabras más bellas no son, TE QUIERO, son ES BENIGNO
Woody Allen",False,196,"Madrid, Comunidad de Madrid",Cumples???????????con la élite de pfizer...no? https://t.co/EPa6oj8nlu,1,0,0,0,
23,2021-08-27 21:05:55+00:00,torralbitch,a veces con dinero y a veces ni pa filtros,False,224,valència ,el miercoles vacuna d pfizer..o me crecen las tetas o lloro,0,0,2,0,
24,2021-08-27 21:03:01+00:00,cronicaglobal,Medio digital con una concepción crítica del periodismo. Apuntamos en la buena dirección.,True,39787,Barcelona,"El día en imágenes | #Hipra inicia los ensayos de la vacuna española, nueva amenaza en #Afganistán y dos medallistas españoles en Tokyo Vía @cronicaglobal https://t.co/m5t6tWDeq6",0,1,3,0,"['Hipra', 'Afganistán']"
25,2021-08-27 20:58:43+00:00,lumenauta,"Después del amor, la tierra. Después de la tierra, todo.",False,303,Madrid,acaban de darle un positivo a alguien que vi el otro día y estaba ya asustandome pensando en comprarme una prueba y tal cuando me he acordado de que tengo la pauta completa gracias por tanto laboratorios pfizer,1,0,3,0,
26,2021-08-27 20:58:42+00:00,mariopress,,False,3771,"Madrid, Comunidad de Madrid","La vacuna Covid, qué garantiza?",1,0,0,0,
27,2021-08-27 20:45:06+00:00,Jiranzo27,Julio 1992. VCF.,False,311,"Valencia, España.","Estupidez covidiana. Estoy en Oporto y Lisboa de vacaciones. Piden el certificado de vacunación para entrar en el interior de los bares y restaurantes SOLO LOS FINES DE SEMANA. De lunes a jueves no hay covid en interiores 🤣
CC: @alfonsopineiro, @Edgarcialonso, @Elzenutrio",7,33,90,3,
28,2021-08-27 20:42:06+00:00,Juanrayito1,"Filólogo, profesor y periodista. Rayista 100%. Con principios, no soporto la falsedad y la hipocresía. 🍊",False,1124,Madrid,"📰 Inician el ensayo de la vacuna 💉 española contra el coronavirus con las primeras dosis en humanos
👉🏻 Buenas noticias  https://t.co/90fCwR3nHt",0,0,1,0,
29,2021-08-27 20:26:47+00:00,luma97,,False,1361,Madrid (España),Mañana 2dosis de la vacuna que miedo 😭,4,0,3,0,
30,2021-08-27 20:12:05+00:00,jatirado_oc,"Periodista. Onda Cero. Editor de iBooks; director de @noticieroMAD; Radio Inter, Onda Madrid, Radio Voz, City Fm; Prensa4, El Telegrafo y Fotos; PopularTV...",False,3885,"Madrid, Comunidad de Madrid",#Sociedad CORONAVIRUS VACUNA - La OMS afirma que el certificado de vacunación no debe ser condición para viajar https://t.co/RB8Rq5Oiq9 https://t.co/J7iZhncidI,0,9,9,0,['Sociedad']
31,2021-08-27 20:00:36+00:00,el_pais_madrid,"Política, sanidad, educación, cultura, movilidad, ecología, vecinos...
Información local sobre #Madrid 
Suscríbete a los hechos: bit.ly/39BdXwN",True,236360,"Madrid, España","Uno de cada tres madrileños aplazó la segunda dosis de la vacuna contra la covid en agosto. En los puntos de vacunación masiva como el WiZink Center ese porcentaje sube hasta el 40%, aunque la Comunidad prevé un aumento de la afluencia en estos días https://t.co/NHVowfNb6J",1,0,0,0,
32,2021-08-27 19:56:31+00:00,jiminguez44,Cristiano y por lo tanto Liberal-Libertario. Sentido Común.,False,5416,Madrid,"""Esto pone fin al debate"": un estudio israelí muestra que la inmunidad natural es 13 veces más efectiva que las vacunas para detener la variante Delta
https://t.co/yWoDoS2u8R",0,4,5,0,
33,2021-08-27 19:54:27+00:00,cronicaglobal,Medio digital con una concepción crítica del periodismo. Apuntamos en la buena dirección.,True,39787,Barcelona,"El día en imágenes | #Hipra inicia los ensayos de la vacuna española, nueva amenaza en #Afganistán y dos medallistas españoles en Tokyo Vía @cronicaglobal https://t.co/vaRdomj3Vg",0,1,1,0,"['Hipra', 'Afganistán']"
34,2021-08-27 19:52:45+00:00,AmorosCuatro,Periodista deportivo en @deportescuatro | Gané la #EURO2020 con Italia | JJ.OO. | Callosino en Madrid.,False,4028,"Madrid, España","Se viene una noche para divertirse. ¿Os apetece una #NocheParalímpica? Si la vacuna me respeta, nos lo vamos a pasar bien. Kim López a por el oro, el triatlón con Susana Rodríguez, la natación con Ponce a por otra medalla… ¡a trasnochar con @Paralimpicos! ¿Te unes? https://t.co/BZw9c4lXSA",0,4,26,0,['NocheParalímpica']
35,2021-08-27 19:46:34+00:00,vmontoro_,"Has tenido de todo menos suerte si has terminado aquí.      Libertad y después, todo lo demás 💙 IG: vmontoro_",False,3035,"Valencia, Spain","Tenemos al 68,4% de la población con la pauta completa pero con las medidas restrictivas que en mayo. O aún más restricciones. 

¿De qué está sirviendo el esfuerzo en el proceso de vacunación? https://t.co/7r9VbTlMGW",0,2,4,0,
36,2021-08-27 19:45:14+00:00,Saragrafias,"Psicólogo🌈-artista @creaycala. Te acompaño a pintar posibilidades. 
Escribo y dibujo mi realidad. 
Soy más graciosa en Twitter. 

Ig: @saragrafias @creaycala",False,526,"Valencia, España","Soy #TeamPfizer y desde ese día he estado con cansancio y 💫dolor en mi pecho💫 como cuando me va a venir la regla.

¿Cambios hormonales en las mujeres tras la vacuna?

SÍ.",2,0,5,0,['TeamPfizer']
37,2021-08-27 19:42:32+00:00,3volteallalba_,"Libros, mangas, animes, series, música y viajes. A veces dibujo. La pizza è il mio unico credo.",False,411,Barcelona,El lado bueno de la febrícula por la vacuna es que he sacado una sudadera con capucha del armario y ya estoy con todas las autumn vibes 🍂,1,0,6,0,
38,2021-08-27 19:39:58+00:00,JordiP_22,,False,23,"Rubí, España",Cuando me pusieron la primera dosis de Moderna y me hicieron esperar 15 min sentado me aburrí. Hoy me he leído un tomo de Blade en el móvil👌🧛🏻‍♂🤙,1,1,4,0,
39,2021-08-27 19:35:51+00:00,Alicia_ct,"Madrid 🇪🇸 
Twitter 2°➡ EARMYSpain.
Kakao Talk➡ AliciaSpain . 
Instagram➡alicia2013madrid .
                  Tik Tok ➡ aliciaspain83.",False,649,"Getafe, España","Lo q me faltaba escuchar de una chica de fiesta sin mascarilla con más gente en las noticias.
""Tengo suficiente anticuerpos para no contagiar"" 😩..Está no se centra en clase y ni ve la tele🤦🏻‍♀️. Te puedes contagiar y contagiar, la vacuna sólo hace que lo pases más leve, y + #COVID",1,0,0,0,['COVID']
40,2021-08-27 19:02:20+00:00,deliriocolorsta,Artista de día DM de noche                                         Arte en @worstmorst,False,52,Madrid,"A hacerme un test de antígenos, porque no es normal tener reacción a la vacuna cuatro días seguidos",1,0,5,0,
41,2021-08-27 19:00:22+00:00,mariajocho,Periodista y Comunicadora Audiovisual #Provida,False,292,"Madrid, Spain.","Un médico de Reino Unido analiza viales de Janssen, AstraZeneca, Pfizer y Moderna y encuentra lo que ya sabemos casi todos https://t.co/0PWc1vK5x9 a través de @ElDiestro_",0,0,1,0,
42,2021-08-27 18:54:44+00:00,Beholder_FFC,"Arquitecto, Roleplayer, Miniature painter.",False,2002,Madrid,"Ojalá cada aplauso que recibieron los malditos médicos y sanitarios pudiera convertirse en un bofetón con toda la mano bien abierta.
O cada muerto por la vacuna. 
Que rule. 
Que se enteren",1,15,30,0,
43,2021-08-27 18:54:39+00:00,xMagorZ,Streamer en Twitch🟣Intentando cumplir un sueño✍,False,390,Madrid,"pues nada, despues de 2 semanas luchando por llegar a bronce 2 porfin llego el dia, 4 mvp con +20kills, hemos llegado a 140 follows que lo agradezco mucho y en un rato me iré a sobar que mañana tengo que estar en Madrid a las 9 para la vacuna. os quiero❤",1,0,1,0,
44,2021-08-27 18:52:53+00:00,Soriua_,No me da la vida pa tanto disgusto | kk: @soriuadramas,False,1138,València,Esperate que la pfizer ya me está haciendo cosas y no es ponerme las boobas gordas precisamente,0,0,2,0,
45,2021-08-27 18:44:15+00:00,EFEnoticias,"Perfil oficial de la Agencia EFE, la primera agencia de noticias en español y la cuarta mundial | #EFEsiempreestá | Otros perfiles bit.ly/AgenciaEFE",True,1943140,Madrid,"#EFETV | Así va la vacunación contra la covid-19 en América hoy 27 de agosto. 🌎 📊

💉 Vacunas administradas
✉️ Inyecciones recibidas
💰Adquiridas

Un trabajo de @mvictoriacard con @aresBiescas

Toda la información en Efeservicios: https://t.co/89J0oTYdra https://t.co/uEptpzN2jA",2,6,10,1,['EFETV']
46,2021-08-27 18:39:46+00:00,ACpabloDC_,"𝘓𝘦 𝘉𝘢𝘶. 25.
Tengo un pingüino gigante que me escribe los guiones.
◀️Hago reviews de cine, series y juegos en 𝗬𝗼𝘂𝗧𝘂𝗯𝗲▶️",False,285,"Madrid, España","Yo: *bueno subiré el vídeo el domingo que viene, me da tiempo*

Yo también: *se pasa dos tardes intensas de edición después de un día parado por la vacuna* *aún queda el cuarto final de vídeo por editar*

Yo finalmente: https://t.co/gQp1xGrPQS",1,0,0,0,
47,2021-08-27 18:39:27+00:00,SUMAROS,De las olas aprendí a irme y regresar con más fuerza. Sherlock.,False,6163,Madrid,Inician el ensayo de la vacuna española contra el coronavirus con las primeras dosis en humanos - https://t.co/iKxYB7a1aL,0,0,4,0,
48,2021-08-27 18:39:08+00:00,Irenee_especial,Un poco bollo si que soy,False,116,"Madrid, Comunidad de Madrid","Pfizer me encuentro fatal, y además tengo el brazo hinchado pero no las tetas

YO NO VINE PARA ESTI EH",2,1,7,0,
49,2021-08-27 18:34:35+00:00,dsn,Twitter Oficial del Departamento de Seguridad Nacional 🇪🇸 Órgano de asesoramiento al Presidente del Gobierno en materia de Seguridad Nacional,True,32102,Madrid (Spain),#NotaDSN 27ago2021 20:30h #COVID19 Situación actual #Coronavirus🇪🇸 Seguridad frente a pandemias y epidemias #SegNacional🇪🇸 #VacunaCOVID19 #YoMeVacuno https://t.co/A9GsWmPQT0 https://t.co/iG5rxBN39T https://t.co/6hnBl1NSiG,0,3,8,0,"['NotaDSN', 'COVID19', 'Coronavirus', 'SegNacional', 'VacunaCOVID19', 'YoMeVacuno']"
50,2021-08-27 18:23:53+00:00,tiramillas,"Web de ocio del diario MARCA con noticias sobre cine, música, tendencias, deportes, tecnología, videojuegos,...",False,13828,Madrid,"Así es ZyCoV-D, la vacuna contra el coronavirus sin agujas https://t.co/2XYzPicQVu",0,1,0,0,
51,2021-08-27 18:22:17+00:00,arwenycr,happy yupi qué megachupi 😋,False,878,tnf y mdz,en madrid vacunada con pfizer pidiendo autoestop https://t.co/2GH6I86Y4V,1,0,18,0,
52,2021-08-27 18:21:48+00:00,lynndurax,| Laura | 21 | Recuerda ser el cambio que quieres ver en el mundo | She/Her | Profesional en shitposting |,False,772,"Valencia, España",odio la regla la vacuna y su pvta madre,0,0,13,0,
53,2021-08-27 18:15:11+00:00,JaimeBN1987,"Personalidad demasiado introvertida, pero si logro abrirme, es distinto. Social Media, Gamer, Pokemaníaco (a mucha honra), #LET.
CM de @DuneSpanish.",False,9656,"Móstoles, Madrid, España",¿Entonces para qué la vacunación? https://t.co/olJgZRMkI1,0,3,8,0,
54,2021-08-27 18:12:28+00:00,Elisabetromer10,"La Humanidad sufre,una verdadera crisis de Valores. 💖💫🇪🇦🇪🇸",False,1731,Barcelona,"Esto,si es investigacion!Un médico de Reino Unido analiza viales de Janssen, AstraZeneca, Pfizer y Moderna y encuentra lo que ya sabemos casi todos https://t.co/SYFdFsYmbQ vía @ElDiestro_",0,0,1,0,
55,2021-08-27 18:11:14+00:00,kainus01,Los virus aprenden a burlar la vacuna en las personas no vacunadas. ya...,False,34,"Madrid, Comunidad de Madrid",El CEO de pfizer no se pondrá su propia vacuna. Él tiene 59 años y dice no necesitarla https://t.co/uFGuw6MiVO,1,0,0,0,
56,2021-08-27 18:10:02+00:00,LopezPradillo,,False,224,madrid,"Un médico de Reino Unido analiza viales de Janssen, AstraZeneca, Pfizer y Moderna y encuentra lo que ya sabemos casi todos https://t.co/B0AEDCcuYq vía @ElDiestro_",0,0,1,0,
57,2021-08-27 18:06:09+00:00,martacrespillo,1999 📚Comercio internacional,False,187,"Barcelona, España",con la segunda dosis de la vacuna me he sentido como si me hubieran pasado 3 camiones por encima,0,2,8,0,
58,2021-08-27 18:01:19+00:00,joancruzz__,i'll be dancing with my heart broke,False,543,bcn ,"por favor NO SE VACUNEN, repito NO SE VACUNEN, hace unos días me pusieron la vacuna y al principio tenía los síntomas normales tipo dolor de cabeza, un poco de fiebre, nada grave pero hoy desperté perdidamente enamorado de la persona leyendo esto",2,0,4,0,
59,2021-08-27 18:00:02+00:00,lasprovincias,"Noticias de la Comunitat Valenciana, de España y de ámbito internacional.",True,194349,"Valencia, Spain",La vacuna de Hipra que se podrá adaptar a las diferentes variantes del covid https://t.co/6ZXkOGBzSK,0,1,5,0,
60,2021-08-27 18:00:01+00:00,LaVanguardia,"Pluralidad, rigor y calidad desde 1881. La Vanguardia es el lugar donde todos y todas nos encontramos.",True,1234510,Barcelona,"Las residencias andaluzas exigen la tercera dosis de la vacuna.

El presidente de la Asociación Andaluza de Residencias y Servicios de Atención a los Mayores (Lares), Fernando Acosta, ha asegurado ""que no se puede demorar"" esta nueva dosis de refuerzo.

https://t.co/3Mfw8cOGUV",3,4,3,0,
61,2021-08-27 17:54:01+00:00,hola,"Las novedades sobre las estrellas de cine y música, tendencias de moda, belleza, recetas de cocina y las Casas Reales en el portal femenino líder en Internet.",True,1688320,Madrid (España),¿Qué ocurre con la dosis de refuerzo de la vacuna de Janssen? Esta es su eficacia https://t.co/MeikCBlOF4,0,3,4,0,
62,2021-08-27 17:53:41+00:00,Trainer_Rizzo,Administrador Informático💻/Intento de Historiador y streamer/25 años/#Gamer/Just Dancer/Pokémon/Steven Universe/Animal Crossing/Switch🕹️:2530-5381-5244,False,776,"Madrid, Comunidad de Madrid",Pues estoy vacunado con pfizer https://t.co/50uuPsOWnD,0,0,19,0,
63,2021-08-27 17:53:22+00:00,elboletinmadrid,Diario de actualidad y finanzas. También en Facebook facebook.com/elboletincom-1… o en nuestro canal de telegram telegram.me/elboletin,True,9413,"Madrid, España","Menos del 2% de los adultos tienen la pauta completa de la #Vacunación en la mayoría de los países más pobres 
https://t.co/RMnZ7vEf3O 
#Vacunas #Coronavirus",0,0,1,0,"['Vacunación', 'Vacunas', 'Coronavirus']"
64,2021-08-27 17:48:55+00:00,SINDO56027912,Ser autentico.,False,4735,"Comunidad de Madrid, España","Un médico de Reino Unido analiza viales de Janssen, AstraZeneca, Pfizer y Moderna y encuentra lo que ya sabemos casi todos https://t.co/kcArAhm8Tt vía @ElDiestro_",0,0,2,0,
65,2021-08-27 17:26:58+00:00,Manuelverh,"He/Him. 25. Graduado en ECO, Máster QfB. Progresista. Natación 🏊‍♂️ Judo 🥋 y Videojuegos 🎮. A fool who dream. L(G)BT. 🏳️‍🌈 Mis opiniones son personales.",False,796,"Valencia, España",Datos Vacunación y Contagios #COVID19 en España y Comunidades Autónomas. Fecha: 27/08/2021. https://t.co/NtRpBTE21y,1,0,0,0,['COVID19']
66,2021-08-27 17:26:20+00:00,danielasdrm,villains have more fun 🌪,False,1886,"Madrid, España",la vacuna me está jodiendo la regla profundamente,1,0,2,0,
67,2021-08-27 17:22:01+00:00,COPE,"Está pasando, estás en COPE 📻 Toda la #información 💻, el mejor equipo de la #radio deportiva🏅, el mejor #entretenimiento y #podcast 🎙️",True,475629,"Madrid, Comunidad de Madrid",Consulta la carrera por la vacunación contra la covid-19: El 68% tiene ya la pauta completa  👇 https://t.co/bF4CmHeGge,0,0,1,0,
68,2021-08-27 17:08:23+00:00,alianasef,"Aceptalo, la realidad supera a la ficción.",False,66,"Madrid, España",Efectos secundarios de la vacuna: https://t.co/u9j34qVrzJ,0,0,1,0,
69,2021-08-27 17:07:35+00:00,datadista,Periodismo de investigación y datos para salir del ruido. Por @latule y @adelgado. Súmate y recibe nuestra newsletter semanal 👉 datadista.com/suscripcion/,False,27165,Madrid,"💉NUEVO | 321.489 nuevas dosis puestas  de la vacuna contra la COVID-19

32.459.380 personas han recibido pauta completa (68,55% de la población)

Asturias, Extremadura, Galicia, CyL, Aragón y País Vasco tienen a +70% de la población con pauta completa
https://t.co/jrYYyRz4dA https://t.co/prQHW0G3Ea",1,4,6,0,
70,2021-08-27 17:02:52+00:00,tiramillas,"Web de ocio del diario MARCA con noticias sobre cine, música, tendencias, deportes, tecnología, videojuegos,...",False,13828,Madrid,"La vacuna, causa de la muerte de una presentadora de la BBC https://t.co/AcJFzguFhL",0,0,1,0,
71,2021-08-27 17:01:22+00:00,Zheilani,"Twitch Partner Streamer • Discord Partner • Adicta a los cupcakes • Cat lover • Seriéfila • Redhead • ""Nyaaa"" • Business only: zheilanitwitch@gmail.com",False,3488,Madrid Spain,"Hoy me han puesto la segunda dosis de la vacuna y ando un poco pocha, hago día off y aprovecho a descansar, os veo el domingo por el canal! Pasad un lindo finde ❤ https://t.co/VNBsjQ6Yn5",4,0,15,0,
72,2021-08-27 17:00:44+00:00,CoviGC,"Todo mal. A veces doy cringe. Necesito un gato o moriré. Suelo decepcionar.
Pregúntale el resto a Fran",False,249,"Valencia, España",Migraña post vacuna qué rico,0,0,2,0,
73,2021-08-27 17:00:11+00:00,darioaleman13,"🇮🇨 | antes buscaba encajar, ahora me suda los cojones",False,872,Madrid,"estoy como si hubiera peleado ayer en la ufc, la segunda dosis de moderna es una trampa",1,1,6,0,
74,2021-08-27 16:59:54+00:00,vio_jpg,dev en @chibigstudio o algo así era. ¡juega ya a #StoriesOfMara  en steam! store.steampowered.com/app/1647780/St…,False,314,"Valencia, España",virgin vosotros que tenéis dos citas para la vacuna chad yo que tengo CINCO.,2,1,4,1,
75,2021-08-27 16:58:29+00:00,sssFran13,"Superior a mí
Es la fuerza que me lleva en el pulso
Que mantengo con la oscuridad
Que tiñen de oscuro tus ojos negros
Y que me cuentas del tiempo
Que pasa en tu",False,163,Barcelona,"Que acto inmoral y despreciable habré cometido en otra vida para merecer trabajar con la segunda dosis de moderna, que no me he desmayado delante de los clientes pq dios no quiso",0,0,3,0,
76,2021-08-27 16:57:34+00:00,fempcomunica,"Federación Española de Municipios y Provincias, #Comunicación. En @MuniCircular y @Despoblacion_ Telegram: t.me/fempcomunicaci…",True,17758,Madrid,"#FEMP #EntidadesLocales #COVID19

🔴 Incidencia: 264 casos por 100.000 habitantes⬇️

‼️ 9.489 nuevos contagios desde viernes 
‼️ 139 nuevos fallecidos

#Responsabilidad
#Precaución

#Vacunas: 68,4% de la población con pauta completa 

#Vacunación👇🏻 https://t.co/P3Udkyyc6W",0,1,2,0,"['FEMP', 'EntidadesLocales', 'COVID19', 'Responsabilidad', 'Precaución', 'Vacunas', 'Vacunación']"
77,2021-08-27 16:53:25+00:00,elboletinmadrid,Diario de actualidad y finanzas. También en Facebook facebook.com/elboletincom-1… o en nuestro canal de telegram telegram.me/elboletin,True,9413,"Madrid, España","El 68% de los españoles ya tiene pauta completa de vacunación, casi 32,5 millones de personas https://t.co/zz5ZLNmgbm #Vacunación #Vacuna #COVID19",0,0,1,0,"['Vacunación', 'Vacuna', 'COVID19']"
78,2021-08-27 16:50:37+00:00,diariomedico,"Periódico líder en #actualidad #sanitaria, referente en contenidos de #salud, dirigido a #médicos de todas las especialidades",False,119824,Madrid,".@aepap defiende mantener las medidas de protección (distancia, higiene y mascarillas) e impulsar la vacunación para tener una vuelta al cole segura.
 https://t.co/dmOEwDQw5P https://t.co/dawcsZr0JZ",41,9,8,14,
79,2021-08-27 16:46:34+00:00,PolGase,"Hablo de basquet e intento dar mi opinión de todo lo que está en mi mano. 
Amor incondicional a la Penya y a Celtics.
🏀✍️💚🖤☘️",False,443,"Badalona, España","Los efectos secundarios de la vacuna de sentirte hecho mierda se pasa mejor con estos dos partidazos.

Debut de Valencia (y de Neno🤩), de McLean y Mobley y de todo Baskonia. https://t.co/FtdED4Cfi0",0,0,1,0,
80,2021-08-27 16:45:10+00:00,Tosgriju,"Interesado en ciencia, tecnologías y educación La ignoracia justifica, la sabiduría condena. Cuenta estrictamente personal",False,2197,Madrid,Avanzan los ensayos de la vacuna española contra la COVID con las primeras dosis en humanos https://t.co/s2MI8QlrhX,0,1,0,0,
